PDF 文件名,标题,波段信息,材料,设计目的
yindidi下次汇报这个.pdf,Continuous programmable mid-infrared thermal emitter and camouflage based on the phase-change material In3SbTe2,中红外波段，3–5 μm,"In3SbTe2,Ag,GaAs",这篇文章设计并优化了一种基于相变材料In3SbTe2的中红外热发射器，在3-5μm波段实现了94%以上的平均发射率变化，通过改变IST层的非晶态和晶态结构组成，可进一步连续调节发射率。基于这种连续可编程发射，成功在沙漠背景上模仿了大理石、枫叶和蓝色聚氯乙烯的中红外发射特性，展示了可编程和多级中红外光学伪装能力，为连续调制发射特性提供了有前景的平台和方法。 
yindidi专利.pdf,基于铟锑碲的多波段兼容可编程热辐射器及应用方法,大气窗口波段3-5μm，8-14μm,"In3SbTe2,SiO2,Ag,GaAs,Ge,ZnS",这篇文章提出了一种基于铟锑碲的多波段兼容可编程热辐射器及应用方法，能够在360-830纳米可见光波段及3-5微米、8-14微米红外波段实现兼容调控。通过设计多层结构，该技术实现了可见光颜色和红外发射率的独立调控，能够在复杂环境中动态适应背景，同时具备高达90%的红外发射率调节范围。这项研究为多光谱兼容伪装和防伪提供了一种创新的解决方案。 
ZrB2低发薄膜.pdf,Application of ZrB2 thin?lm as a low emissivity ?lm at high temperature,大气透明窗口波段 8–14 μm ,"ZrB2,Si","这篇文章通过磁控溅射法在Si(111)衬底上制备了ZrB2薄膜，并对其进行退火处理，研究了退火温度和时间对薄膜的影响。结果表明，ZrB2薄膜具有良好的结晶质量和热稳定性，在8-14μm波段的红外发射率低至0.01，有望成为高温环境下的低红外发射率材料。 

1. **实验目的**：探索ZrB2薄膜在高温环境下作为低红外发射率材料的可能性。
2. **实验方法**
    - 采用磁控溅射法在Si(111)衬底上制备ZrB2薄膜。
    - 通过控制退火温度和时间对薄膜进行后处理。
    - 使用多种表征手段对薄膜的结构、成分、电学和光学性能进行分析。
3. **实验效果**
    - 退火处理促进了ZrB2薄膜的结晶质量和晶粒生长。
    - 薄膜的红外发射率显著降低，在1000℃退火10h后，8-14μm波段的红外发射率低至0.01。
    - 薄膜的电学性能得到改善，室温下的电阻率最低可达9×10??Ω·m。 
4. **结论**：ZrB2薄膜在高温环境下具有优异的低红外发射率性能，是一种有潜力的高温红外隐身材料。 "
专利：光子术后创可贴及光子贴.pdf,光子术后创可贴及光子贴,可见光波段，450-700nm,"light source,sealing film,battery,pasting,switch,USB interface,wire,medicine film,side sticker",这篇文章介绍了一种光子术后创可贴及光子贴，其在广义创可贴上增设可控发光电路，能在药物消炎治疗时提供光子治疗。该创可贴光源可发特定波长红光或蓝光，开关能分别或同时控制照射，边贴可多向拉伸粘贴，粘贴面能贴附皮肤和织物。光子贴由密封膜内的相关部件构成，支持交直流充电。此设计使用方便、结构简单，能减少伤口感染、疤痕和疼痛，对多种病症疗效好，适用于多领域。 
基于二维材料的太赫兹光电探测器的研究进展（英文）_魏秋实.pdf,Recent advancements in two-dimensional materials for terahertz photodetectors,太赫兹波段，30μm-3mm,"BP,BN,Cr,CuInP2S6,FET,GFET,Ge,In,MoSe2,MoTe2,MWCNTs,Na3Bi,NbIrTe4,NiTe2,NiTeSe,PdSe2,PtSe2,PtTe2,Se,Si,TaAs,TaSe2,Ta2NiSe5,TMDs,Ti,WTe2,Xe,ZrGeSe,ZrTe5",这篇文章综述了基于石墨烯、黑磷、拓扑半金属和过渡金属二硫属化物等二维材料的太赫兹探测器的研究进展。通过利用场效应晶体管结构、耦合各种天线、采用II型拓扑半金属、引入不对称金属电极、构建范德华异质结以及利用电荷密度波和激子绝缘体相变等方法，可以有效提高太赫兹探测器的吸收并增强其性能。尽管许多学者在基于二维材料的太赫兹探测器方面取得了进展，但仍面临巨大挑战。 
复杂超表面+金属.pdf,Multispectral camouflage and radiative cooling using dynamically tunable metasurface,中波红外波段，3–5μm；短波红外波段，5–8μm；长波红外波段，8–13μm；近红外波段，1064nm,"Au,Sb2Se3,Al,PMMA,SiO2",这篇文章提出了一种基于锑化硒（Sb2Se3）的动态可调谐超表面，可实现多光谱伪装和辐射冷却。该超表面由金（Au）、锑化硒（Sb2Se3）和铝（Al）组成，通过改变Sb2Se3的相态来切换高性能热管理模式和伪装模式。在非晶态下，中波红外范围内的热辐射降低率高达98.2%，1064nm激光雷达的回波信号降低率可达96.3%；在晶态下，最高冷却功率为65.5Wm?2。这种设计为实现多光谱伪装和辐射冷却提供了一种新策略。 
热辐射方向调控研究进展（特邀）_光学学报.pdf,热辐射方向调控研究进展 （特邀）,中波红外和长波红外大气透过窗口波段，3-5μm，8-14μm,"SiC,W,Au,SiN,Al,Ge,ZnS,ITO,CdO,Al2O3,SiO2,MgO,Ta2O5,TiO2",这篇文章综述了纳米光子结构实现热辐射方向调控的主要研究方法与应用，介绍了光栅、超构表面、光子晶体、近零介电常数材料等结构的调控原理及相关成果，并列举了在辐射制冷、红外成像、偏振转换、信息加密等领域的应用。目前该领域仍存在偏振敏感、缺乏动态调控能力、宽带定向热辐射角度发散大等问题，未来研究可从设计偏振不敏感的宽带定向热辐射器、结合相变材料实现动态调控、优化近零介电常数材料与超构表面的结合等方面展开。 
综述 2024 materialstoday 哈萨特斯特国立大学 MXene填充水凝胶和气凝胶复合材料(1).pdf,"Ti3C2Tx MXene Filled 3D Hydro- and Aerogel Composites: Synthesis, Properties, and Applications",太赫兹波段，0.03mm-3mm,"Ti3C2Tx,CNT,rGO,CCS,FAS,CA,BC,PAA,PAM,DMA,NIPAM,HEMA,ANI,PEGDA,AA,APS,PI,TA,CNF,TBBPA,PAM,AgNPs,GG,Alg,PBA,MADA,F127-PEI,OSA,CeO2,PVA,PANI,Cellulose,Aragose,DOX",这篇文章综述了Ti3C2??MXene与水凝胶或气凝胶复合材料的制备技术、性能及应用。通过多种制备方法可调控复合材料性能，其在能量存储、电磁干扰屏蔽、生物医学、水净化和传感器等领域展现出优异特性与应用潜力，为相关领域发展提供了新途径和材料选择。 
综述2024香港城市大学materials today energy超越静态：动态辐射冷却材料和应用.pdf,Beyond the static: dynamic radiative cooling materials and applications,大气透明窗口波段，8-13μm,"CNF,Mxene,PDMS,PVDF,ZnO,Cu-doped ZnS,Au,Ag,WO3,a-WO3,c-WO3,VO2,MgF2,W,PNIPAm,leuco dye,La1-xSrxMnO3,La1-xCaxMnO3,Sm1-xCaxMnO3,TiO2,BaF2,Ge,HfO2,Al,PMMA,Ni-titanium alloy",这篇文章综述了动态辐射冷却（DRC）材料和系统的最新进展，探讨了其在建筑和城市相关应用中的创新材料和结构设计，强调了其在增强热管理方面的巨大潜力。通过将静态辐射冷却（SRC）和DRC纳入各种系统，如建筑围护结构、供暖、通风、空调和冷却系统以及蒸发冷却系统，文章探讨了它们在城市规模上的应用，重点是在屋顶、墙壁和人行道上的广泛实施，以降低表面和环境温度，减轻城市热岛（UHI）效应。最后，文章确定了下一代DRC研究的关键挑战和机遇，为推动可持续冷却技术的发展和重塑未来建筑环境的材料和系统开发提供了路线图。 
自适应红外伪装.pdf,Adaptive Multispectral Infrared Camou ?age,中波红外和长波红外波段，3–5μm和8–12μm,"Au,SiO2,VO2,SU-8",这篇文章设计了一种基于VO2的自适应红外伪装系统，可在3-5μm和8-12μm波段工作。利用VO2的半导体到金属相变来驱动伪装，通过有效介质理论计算其介电常数以研究系统光学响应。该系统能实现多光谱红外信息的主动热伪装，在像素化表面展示了可调谐图像，具备高达80%的反射率调节范围，为高分辨率自适应红外标记、伪装和防伪等应用提供了可能。 
透明敷料综述.pdf,Recent advances in novel materials and techniques for developing transparent wound dressings,否,"PU,PEG,PVA,PLA,COF,MOF,PCL,CS,PEO,PVP,CA,ZnO,Ag,Zein,gum tragacanth,pomegranate peel,sodium alginate,Elaeagnus angustifolia,cinnamon oil,clove oil,lavender oil,nisin,octyl methoxy cinnamate,peppermint oil,amphiphilic octenidine,cumin oil",这篇文章综述了用于开发透明伤口敷料的新型材料和技术进展，涵盖伤口敷料类型、新型敷料材料、先进制造技术等内容。介绍了不同聚合物在透明伤口敷料中的应用，强调透明电纺纳米纤维敷料可避免感染和脱水以加速伤口愈合，还阐述了制备透明纳米纤维的实验参数及多种制造技术，为伤口修复领域提供了全面的研究参考，有望推动新型透明伤口敷料发展以改善患者治疗效果。 
金字塔薄膜.pdf,Pyramid Textured Photonic Films with High-Refractive Index Fillers for Efficient Radiative Cooling,大气透明窗口波段 8–13 μm,"PDMS,h - BNNs",这篇文章通过协同优化微金字塔表面结构和二维六方氮化硼（h-BNNs）散射填料，制备出具有高效散热性能的金字塔纹理光子薄膜（PTPFs）。该薄膜在太阳能反射率、中红外发射率和热导率方面表现出色，在40°C时平均有效辐射冷却功率达201.2Wm?2，在不同场景下均展现出显著的降温效果，为高效亚环境辐射冷却技术提供了有效策略。 
金属衬底+氧化物.pdf,Epsilon-near-zero thin films in a dual-functional system for thermal infrared camouflage and thermal management within the atmospheric window,大气透明窗口波段 8–14 μm,"SiO2,Al2O3,TiO2,Au,AlNiY",这篇文章提出了一种基于金属玻璃与近零介电常数（ENZ）薄膜的Berreman模式相结合的双功能系统，用于在大气窗口内实现热红外伪装和热管理。该系统在小视角下具有低辐射功率，可与周围环境匹配；在大视角下具有高发射率，利于散热。通过计算，加入ENZ薄膜后冷却功率提升达185%。研究还进行了红外热伪装演示，结果表明该系统在不同温度下对目标的红外热伪装相似度超97%，强调了考虑背景热辐射通量和目标温度的必要性，为推进红外热伪装技术开辟了新途径。 
陶瓷粒子散射Journal of the American Ceramic Society - 2022 - Aziz - Repressing high‐temperature radiative heat transfer in thermal.pdf,Repressing high-temperature radiative heat transfer in thermal barrier coatings,近红外波段，1-5μm,"8YSZ,Al2O3",这篇文章提出了一种基于陶瓷复合材料抑制高温光子扩散的策略，通过添加低折射率且粒径可控的第二组分，制备了8YSZ/刚玉复合材料。在1200℃时，该复合材料的总热导率和光子热导率分别比纯8YSZ低约48.9%和96.4%，有效抑制了热辐射传输，同时复合材料的断裂韧性和硬度分别提高了约20%和13%。研究为提高燃气轮机高温隔热效率提供了创新解决方案。 
高温耐火材料.pdf,High-Temperature Refractory Metasurfaces for Solar Thermophotovoltaic Energy Harvesting,可见光至近红外波段，300-1500nm,"W,Al2O3,HfO2,Cr,Si",这篇文章展示了用于太阳能热光伏（STPV）的耐高温超表面，通过原位高温测量表征了其定制的吸收率和发射率，热稳定性至少达到1200°C。基于详细平衡计算，预测完全集成的吸收器/发射器超表面结构的STPV效率高达18%，为基于耐高温超表面结构的高性能STPV系统开辟了道路。 
